symbol,zip,industry,sector,fullTimeEmployees,auditRisk,boardRisk,compensationRisk,shareHolderRightsRisk,overallRisk,governanceEpochDate,compensationAsOfEpochDate,maxAge,priceHint,previousClose,open,dayLow,dayHigh,regularMarketPreviousClose,regularMarketOpen,regularMarketDayLow,regularMarketDayHigh,dividendRate,dividendYield,exDividendDate,payoutRatio,fiveYearAvgDividendYield,beta,trailingPE,forwardPE,volume,regularMarketVolume,averageVolume,averageVolume10days,averageDailyVolume10Day,bid,ask,bidSize,askSize,marketCap,fiftyTwoWeekLow,fiftyTwoWeekHigh,priceToSalesTrailing12Months,fiftyDayAverage,twoHundredDayAverage,trailingAnnualDividendRate,trailingAnnualDividendYield,currency,enterpriseValue,profitMargins,floatShares,sharesOutstanding,sharesShort,sharesShortPriorMonth,sharesShortPreviousMonthDate,dateShortInterest,sharesPercentSharesOut,heldPercentInsiders,heldPercentInstitutions,shortRatio,shortPercentOfFloat,impliedSharesOutstanding,bookValue,priceToBook,lastFiscalYearEnd,nextFiscalYearEnd,mostRecentQuarter,earningsQuarterlyGrowth,netIncomeToCommon,trailingEps,forwardEps,pegRatio,lastSplitFactor,lastSplitDate,enterpriseToRevenue,52WeekChange,SandP52WeekChange,lastDividendValue,lastDividendDate,exchange,quoteType,firstTradeDateEpochUtc,gmtOffSetMilliseconds,currentPrice,targetHighPrice,targetLowPrice,targetMeanPrice,targetMedianPrice,recommendationMean,recommendationKey,numberOfAnalystOpinions,totalCash,totalCashPerShare,totalDebt,totalRevenue,revenuePerShare,returnOnAssets,returnOnEquity,operatingCashflow,earningsGrowth,revenueGrowth,operatingMargins,financialCurrency,trailingPegRatio,quickRatio,currentRatio,debtToEquity,grossMargins,enterpriseToEbitda,ebitda,freeCashflow,ebitdaMargins
SCHW,76262,Capital Markets,Financial Services,32600,8,8,8,10,10,1714521600,1703980800,86400,2,77.07,77.42,77.38,78.71,77.07,77.42,77.38,78.71,1.0,0.012999999,1715212800,0.4184,1.38,0.982,32.9205,17.523386,4610805,4610805,7058424,6165240,6165240,78.41,78.41,1000,900,139836391424,48.66,78.71,7.5746922,72.0174,63.2366,1.0,0.012975218,USD,149480439808,0.26142,1495392304,1777280000,15958343,15005246,1711584000,1714435200,0.0087,0.06263,0.84932,2.17,0.0095999995,1828169984,18.184,4.326881,1703980800,1735603200,1711843200,-0.15,4367000064,2.39,4.49,1.53,3:2,959731200,8.097,0.48726356,0.26159418,0.25,1707350400,NYQ,EQUITY,559315800,-14400000,78.68,92.0,64.0,78.56,77.0,2.2,buy,18,61653999616,33.724,61046001664,18460999680,10.134,0.00961,0.12255,8461000192,-0.181,-0.074,0.38692,USD,1.2992,0.435,0.435,143.936,0.96620005,,,,
BK,10286,Asset Management,Financial Services,52100,1,1,6,2,1,1714521600,1703980800,86400,2,58.35,58.63,58.4,58.915,58.35,58.63,58.4,58.915,1.68,0.028800001,1714003200,0.4085,2.96,1.102,14.736842,9.671053,1598834,1598834,3559850,2969080,2969080,58.65,58.66,900,800,43971579904,39.66,58.915,2.51338,56.4484,50.1629,1.63,0.027934877,USD,-56787947520,0.19028,745213436,747816000,8560408,7069930,1711584000,1714435200,0.0114,0.0015199999,0.86123,2.35,0.0115,747816000,48.442,1.2138227,1703980800,1735603200,1711843200,0.044,3092999936,3.99,6.08,0.98,9434:10000,1183334400,-3.246,0.43507135,0.26159418,0.42,1714003200,NYQ,EQUITY,105283800,-14400000,58.8,70.0,57.0,64.5,65.56,2.1,buy,15,173901004800,232.545,68941996032,17494999040,22.648,0.00775,0.08173,1440000000,0.106,0.026,0.30556,USD,0.7772,,,,,,,,
BLK,10001,Asset Management,Financial Services,19300,6,7,10,1,8,1714521600,1703980800,86400,2,802.96,809.12,807.68,818.18,802.96,809.12,807.68,818.18,20.4,0.0254,1709683200,0.5108,2.51,1.381,20.717916,17.41243,491106,491106,612016,586970,586970,813.15,813.6,900,900,121146146816,596.18,845.0,6.6041293,793.46,740.37274,20.1,0.02503238,USD,123874844672,0.32261002,139101470,148600000,1630139,1823435,1711584000,1714435200,0.011,0.00962,0.89138,2.39,0.0111,148600000,267.042,3.0528905,1703980800,1735603200,1711843200,0.36,5918000128,39.35,46.82,1.54,,,6.753,0.23410797,0.26159418,5.1,1709683200,NYQ,EQUITY,938784600,-14400000,815.25,1070.0,842.0,930.54,915.0,1.9,buy,13,9096999936,61.218,11632000000,18343999488,123.095,0.03374,0.15170999,4151000064,0.372,0.114,0.36421,USD,2.4592,2.004,2.663,27.864,0.48997003,17.558,7055000064,4560249856,0.38459
TROW,21202,Asset Management,Financial Services,7878,2,9,7,7,7,1714521600,1703980800,86400,2,114.36,115.33,114.41,115.92,114.36,115.33,114.41,115.92,4.96,0.0434,1718323200,0.5819,3.2,1.414,13.64905,13.044835,560735,560735,1396967,1348600,1348600,114.82,115.02,1500,900,25662752768,87.43,132.76,3.845702,114.915,107.93515,4.9,0.04284715,USD,24382375936,0.29087,218242160,223300000,10388247,11356130,1711584000,1714435200,0.0465,0.020569999,0.76588,6.85,0.0539,223300000,43.778,2.6251771,1703980800,1735603200,1711843200,0.361,1891299968,8.42,8.81,18.21,2:1,1151280000,3.654,0.084597826,0.26159418,1.24,1710374400,NMS,EQUITY,512836200,-14400000,114.925,125.0,101.0,115.7,118.0,3.3,hold,10,2416499968,10.822,380200000,6673099776,29.804,0.102749996,0.19165,1344700032,0.361,0.138,0.33516,USD,5.4213,1.846,1.846,3.565,0.50200003,9.585,2543800064,1759374976,0.3812
STT,02114-2016,Asset Management,Financial Services,45871,7,6,8,1,5,1714521600,1703980800,86400,2,76.56,77.02,76.89,77.74,76.56,77.02,76.89,77.74,2.76,0.0361,1711584000,0.4972,3.09,1.536,14.286372,8.82537,1138168,1138168,2413809,1761930,1761930,77.43,77.44,900,800,23370166272,62.78,79.9,1.9551716,74.5138,71.94695,2.7,0.03526646,USD,-64691621888,0.15544,284258834,301259008,3087423,2378221,1711584000,1714435200,0.010199999,0.0040599997,0.89075,1.08,0.0117,301259008,72.851,1.0648447,1703980800,1735603200,1711843200,-0.157,1714000000,5.43,8.79,1.37,2:1,991267200,-5.412,0.11831725,0.26159418,0.69,1711584000,NYQ,EQUITY,322151400,-14400000,77.575,102.0,74.0,88.15,88.0,2.6,hold,13,142084997120,471.638,51861000192,11953000448,38.242,0.0059100003,0.07555,2708000000,-0.099,0.018,0.21150999,USD,0.7765,,,,,,,,
AMTD,,Asset Management,Financial Services,,,,,,,,,86400,4,1.85,1.92,1.85,1.9088,1.85,1.92,1.85,1.9088,,,,,,0.475,0.6391919,,66463,66463,45424,53380,53380,1.88,1.9,800,3100,1782648832,1.65,5.25,9.84298,1.73552,2.423905,,,USD,352958752,0.87127,107210381,77934000,32559,37137,1711584000,1714435200,0.0004,,0.0113699995,0.65,,939027008,128.138,0.0148152765,1672444800,1703980800,1688083200,0.005,143522944,2.97,,,1:3,1700179200,1.949,-0.6329365,0.26159418,,,NYQ,EQUITY,1565011800,-14400000,1.8984,,,,,2.0,buy,,379680000,1.398,96447000,181108640,27.353,0.11192001,0.12569,,,1.192,0.81706,USD,,5.242,6.269,6.529,1.0,,,,
ICE,30328,Financial Data & Stock Exchanges,Financial Services,13226,1,8,8,3,4,1714521600,1703980800,86400,2,134.39,134.89,134.89,137.97,134.39,134.89,134.89,137.97,1.8,0.0134000005,1718150400,0.39310002,1.24,1.029,31.714945,20.966566,1758923,1758923,2377504,2331110,2331110,137.6,137.62,1200,800,79131795456,103.81,140.43,9.440681,134.3622,122.638,1.71,0.012724161,USD,98580029440,0.29587,568267451,573585024,4211903,4969360,1711584000,1714435200,0.0073,0.01059,0.92657995,1.88,0.0074,577694016,45.792,3.0127535,1703980800,1735603200,1711843200,0.171,2480000000,4.35,6.58,2.39,5:1,1478217600,11.761,0.23747694,0.26159418,0.45,1710374400,NYQ,EQUITY,1132151400,-14400000,137.96,166.0,139.0,153.69,155.0,1.9,buy,13,863000000,1.505,22308999168,8382000128,14.77,0.018,0.102910005,3897999872,0.137,0.208,0.47991002,USD,2.5838,0.031,1.006,84.861,1.0,19.231,5126000128,7788624896,0.61155
NDAQ,10036,Financial Data & Stock Exchanges,Financial Services,8568,4,4,5,3,3,1714521600,1703980800,86400,2,60.41,60.47,60.47,61.59,60.41,60.47,60.47,61.59,0.96,0.0159,1718323200,0.4706,1.45,0.943,32.804813,20.312914,1937833,1937833,3465468,2429880,2429880,56.24,61.41,200,2100,35490353152,46.88,64.25,5.719638,60.792,55.1969,0.88,0.014567125,USD,44901335040,0.15970999,442800086,576532992,4949936,4746878,1711584000,1714435200,0.0086,0.10735,0.78594,1.54,0.013300001,578537024,18.773,3.2677248,1703980800,1735603200,1711843200,-0.225,991000000,1.87,3.02,2.88,3:1,1661731200,7.236,0.09976339,0.26159418,0.22,1710288000,NMS,EQUITY,1025530200,-14400000,61.345,80.0,50.0,65.33,64.0,2.5,buy,15,401000000,0.696,10464000000,6205000192,11.79,0.04538,0.11637,1660999936,-0.344,0.092,0.27121,USD,1.9567,0.179,0.99,96.719,0.66043997,19.85,2262000128,1296625024,0.36453998
MMC,10036-2774,Insurance Brokers,Financial Services,85000,5,2,2,4,2,1714521600,1703980800,86400,2,205.07,204.53,204.5,206.81,205.07,204.53,204.5,206.81,2.84,0.0138,1712102400,0.4353,1.46,0.895,26.214739,21.76266,620302,620302,1581760,1188400,1188400,205.98,206.02,900,800,101891760128,171.47,209.2,4.375854,202.9412,196.40295,2.84,0.013848929,USD,115169918976,0.16839,491477433,492724000,3980235,3701129,1711584000,1714435200,0.0081,0.00089,0.89816004,2.09,0.0098,493876992,25.206,8.184956,1703980800,1735603200,1711843200,0.134,3920999936,7.87,9.48,3.4,2:1,1025481600,4.946,0.1514318,0.26159418,0.71,1712102400,NYQ,EQUITY,99153000,-14400000,206.31,238.0,195.0,212.61,212.5,2.9,hold,18,1452000000,2.947,15379000320,23285000192,47.207,0.09357,0.3337,4296000000,0.142,0.093,0.31145,USD,2.4855,0.485,1.141,121.843,0.44625,16.774,6865999872,4082500096,0.29487
CB,8001,Insurance - Property & Casualty,Financial Services,40000,9,9,3,6,8,1714521600,1703980800,86400,2,253.16,252.4,251.9885,253.7,253.16,252.4,251.9885,253.7,3.44,0.0136,1710374400,0.1529,1.83,0.633,11.239005,10.674684,570913,570913,1571739,1153100,1153100,252.63,252.65,800,1100,103289495552,183.71,260.58,1.9943522,251.935,228.9795,3.44,0.013588245,USD,120449417216,0.17916,403478497,406060992,2741561,2363900,1711584000,1714435200,0.0068,0.00622,0.86029,1.67,0.0068,408275008,149.089,1.6969059,1703980800,1735603200,1711843200,0.133,9278999552,22.51,23.7,0.66,3:1,888883200,2.326,0.2726084,0.26159418,0.86,1710374400,NYQ,EQUITY,733069800,-14400000,252.99,294.0,244.0,270.1,275.0,2.4,buy,20,7615000064,18.753,21369999360,51790999552,126.725,0.02931,0.1604,13601000448,0.155,0.192,0.21301001,USD,3.629,0.184,0.388,33.167,0.28157,11.42,10547000320,11071875072,0.20365
