symbol,zip,industry,sector,fullTimeEmployees,auditRisk,boardRisk,compensationRisk,shareHolderRightsRisk,overallRisk,governanceEpochDate,compensationAsOfEpochDate,maxAge,priceHint,previousClose,open,dayLow,dayHigh,regularMarketPreviousClose,regularMarketOpen,regularMarketDayLow,regularMarketDayHigh,dividendRate,dividendYield,exDividendDate,payoutRatio,fiveYearAvgDividendYield,beta,trailingPE,forwardPE,volume,regularMarketVolume,averageVolume,averageVolume10days,averageDailyVolume10Day,bid,ask,bidSize,askSize,marketCap,fiftyTwoWeekLow,fiftyTwoWeekHigh,priceToSalesTrailing12Months,fiftyDayAverage,twoHundredDayAverage,trailingAnnualDividendRate,trailingAnnualDividendYield,currency,enterpriseValue,profitMargins,floatShares,sharesOutstanding,sharesShort,sharesShortPriorMonth,sharesShortPreviousMonthDate,dateShortInterest,sharesPercentSharesOut,heldPercentInsiders,heldPercentInstitutions,shortRatio,shortPercentOfFloat,impliedSharesOutstanding,bookValue,priceToBook,lastFiscalYearEnd,nextFiscalYearEnd,mostRecentQuarter,netIncomeToCommon,trailingEps,forwardEps,pegRatio,lastSplitFactor,lastSplitDate,enterpriseToRevenue,enterpriseToEbitda,52WeekChange,SandP52WeekChange,lastDividendValue,lastDividendDate,exchange,quoteType,firstTradeDateEpochUtc,gmtOffSetMilliseconds,currentPrice,targetHighPrice,targetLowPrice,targetMeanPrice,targetMedianPrice,recommendationMean,recommendationKey,numberOfAnalystOpinions,totalCash,totalCashPerShare,ebitda,totalDebt,quickRatio,currentRatio,totalRevenue,debtToEquity,revenuePerShare,returnOnAssets,returnOnEquity,freeCashflow,operatingCashflow,revenueGrowth,grossMargins,ebitdaMargins,operatingMargins,financialCurrency,trailingPegRatio,earningsQuarterlyGrowth,earningsGrowth
AMGN,91320-1799,Drug Manufacturers - General,Healthcare,26700,2,9,2,1,2,1714521600,1703980800,86400,2,311.41,314.82,312.98,321.44,311.41,314.82,312.98,321.44,9.0,0.028900001,1715817600,1.2343,2.97,0.599,45.490726,15.601273,2451924,2451924,2793095,3389790,3389790,303.51,319.86,100,100,171063771136,211.71,329.72,5.7924886,278.7442,276.7153,8.64,0.027744774,USD,221363126272,0.12742,534841481,536435008,9715670,10472474,1711584000,1714435200,0.018099999,0.00247,0.81544995,4.43,0.018099999,536435008,9.362,34.062164,1703980800,1735603200,1711843200,3763000064,7.01,20.44,2.8,2:1,943228800,7.496,18.758,0.38392138,0.26159418,2.25,1707955200,NMS,EQUITY,424704600,-14400000,318.89,380.0,170.0,316.85,322.0,2.4,buy,23,9708000256,18.097,11800999936,64020000768,0.836,1.422,29532000256,1274.791,55.148,0.04975,0.72574997,3842874880,8096000000,0.22,0.66494006,0.3996,0.13334,USD,2.3592,,
GILD,94404,Drug Manufacturers - General,Healthcare,18000,3,5,4,1,2,1714521600,1703980800,86400,2,67.65,67.94,67.07,67.98,67.65,67.94,67.07,67.98,3.08,0.045500003,1718323200,8.3889,4.0,0.235,186.31943,9.381119,3397280,3397280,7146437,6614140,6614140,64.45,67.13,100,1400,83565387776,64.33,87.87,3.0442765,69.61,75.62895,3.02,0.044641536,USD,103332970496,0.01767,1243199542,1245849984,21159970,22572691,1711584000,1714435200,0.017,0.0010800001,0.87144995,2.97,0.017,1245849984,14.076,4.765203,1703980800,1735603200,1711843200,485000000,0.36,7.15,3.35,2:1,1359331200,3.764,8.159,-0.14160639,0.26159418,0.77,1710374400,NMS,EQUITY,696090600,-14400000,67.075,117.0,67.0,81.29,78.0,2.5,buy,25,6058999808,4.863,12664999936,25194000384,0.824,1.079,27449999360,144.337,22.0,0.10496,0.02391,8886250496,8480999936,0.053,0.77523005,0.46138,0.3443,USD,0.8401,,
REGN,10591-6707,Biotechnology,Healthcare,13677,10,10,9,10,10,1714521600,1703980800,86400,2,984.64,988.0,966.335,988.175,984.64,988.0,966.335,988.175,,,,,,0.168,28.84972,20.412367,438896,438896,453613,457430,457430,975.46,979.9,100,100,106826809344,684.81,998.33,8.154656,942.4502,877.10944,,,USD,98412183552,0.29448998,103205430,108367000,1573831,1421410,1711584000,1714435200,0.0143,0.01689,0.90199,3.41,0.0150999995,109326000,250.149,3.9062319,1703980800,1735603200,1711843200,3857799936,33.87,47.87,2.25,,,7.512,22.243,0.31350136,0.26159418,,,NMS,EQUITY,670602600,-14400000,977.14,1185.0,720.0,1057.62,1062.5,2.0,buy,24,10519499776,97.506,4424500224,2703300096,4.396,5.27,13100099584,10.016,122.574,0.07739,0.15283,3029825024,4738899968,-0.005,0.51311,0.33775002,0.24118,USD,1.6203,-0.117,-0.126
VRTX,02210,Biotechnology,Healthcare,5400,9,6,8,6,8,1714521600,1703980800,86400,2,428.59,431.0,428.62,439.155,428.59,431.0,428.62,439.155,,,,,,0.387,28.353855,24.012075,734720,734720,1023132,1171710,1171710,437.12,437.83,100,100,113251246080,320.01,448.4,11.119415,407.9546,386.7955,,,USD,101149097984,0.39464,257307613,258052992,3871329,3975531,1711584000,1714435200,0.015,0.00112,0.96352994,4.02,0.015,258860000,71.804,6.092975,1703980800,1735603200,1711843200,4019399936,15.43,18.22,1.91,2:1,967075200,9.931,22.067,0.25612545,0.26159418,,,NMS,EQUITY,680362200,-14400000,437.5,577.0,325.0,467.42,458.0,2.2,buy,25,10171299840,39.415,4583699968,721299968,3.152,3.501,10184999936,3.889,39.492,0.12821999,0.24375999,3308649984,3944000000,0.133,0.55353,0.45004,0.45202,USD,0.5757,0.571,0.565
ZTS,07054,Drug Manufacturers - Specialty & Generic,Healthcare,14100,5,2,2,7,3,1714521600,1703980800,86400,2,168.87,170.85,171.26,174.99,168.87,170.85,171.26,174.99,1.73,0.010199999,1713398400,0.3,0.64,0.857,33.4556,27.120502,1828407,1828407,3739344,3153300,3153300,172.79,172.86,900,900,79075926016,144.8,201.92,9.053804,165.5048,179.02235,1.557,0.00922011,USD,81873559552,0.27376,455377984,456295008,5171343,3651701,1711584000,1714435200,0.0113,0.00242,0.94282997,1.21,0.0113,456295008,11.069,15.656338,1703980800,1735603200,1711843200,2391000064,5.18,6.39,3.07,,,9.374,22.953,-0.056275845,0.26159418,0.432,1713398400,NYQ,EQUITY,1359729000,-14400000,173.3,248.0,180.0,213.7,217.0,1.8,buy,14,1975000064,4.328,3567000064,6800000000,1.712,3.331,8734000128,134.6,18.995,0.13989,0.50047,1485374976,2399000064,0.095,0.70082,0.4084,0.36575,USD,2.9027,0.085,0.099
BIIB,02142,Drug Manufacturers - General,Healthcare,7570,10,5,9,2,7,1714521600,1703980800,86400,2,226.88,228.98,228.66,236.9,226.88,228.98,228.66,236.9,,,,,,-0.007,29.440699,13.552875,1309464,1309464,1253991,986390,986390,222.1,235.95,100,100,34334683136,189.44,319.76,3.5531747,212.2514,240.0823,,,USD,38905225216,0.12073,145052363,145596992,3147944,3552970,1711584000,1714435200,0.0216,0.00158,0.92333,2.4,0.024400001,145596992,104.485,2.2569747,1703980800,1735603200,1711843200,1166599936,8.01,17.4,4.54,3:1,979776000,4.026,15.44,-0.25916737,0.26159418,,,NMS,EQUITY,685114200,-14400000,235.82,350.0,200.0,283.79,288.5,2.1,buy,30,1074400000,7.379,2519800064,6946599936,1.089,2.096,9663099904,45.662,66.688,0.04861,0.0805,899924992,1645100032,-0.07,0.51344,0.26077,0.27282,USD,,0.014,0.011
ISRG,94086-5304,Medical Instruments & Supplies,Healthcare,13676,5,3,7,3,3,1714521600,1703980800,86400,2,384.19,387.25,386.61,399.25,384.19,387.25,386.61,399.25,,,,,,1.391,72.13924,54.202442,884460,884460,1442621,982810,982810,398.72,399.25,100,900,141502857216,254.85,403.76,19.334953,384.2924,336.21695,,,USD,131558129664,0.27159,352471175,354705984,3469495,3408802,1711584000,1714435200,0.0098,0.0053100004,0.89355004,2.22,0.0098,354705984,39.365,10.134129,1703980800,1735603200,1711843200,1987600000,5.53,7.36,4.87,3:1,1633392000,17.976,58.022,0.24647975,0.26159418,,,NMS,EQUITY,961162200,-14400000,398.93,475.0,375.0,423.53,430.0,2.0,buy,23,4800099840,13.533,2267399936,,4.407,5.551,7318499840,,20.79,0.080010004,0.15816,529375008,1707800064,0.115,0.66433,0.30982,0.24827999,USD,4.0301,0.534,0.51
SYK,49002,Medical Devices,Healthcare,52000,5,5,4,6,5,1714521600,1703980800,86400,2,324.3,325.91,324.3,332.0,324.3,325.91,324.3,332.0,3.2,0.0099,1719532800,0.3539,1.05,0.919,37.844746,24.72185,1076446,1076446,1247685,1608110,1608110,330.37,330.49,1200,800,126393655296,249.98,361.41,6.0293684,343.4674,307.2945,3.1,0.00955905,USD,134535012352,0.16033001,341281478,380950016,4259231,4243998,1711584000,1714435200,0.0112,0.05386,0.79937,3.44,0.0117999995,381255008,50.327,6.587319,1703980800,1735603200,1711843200,3360999936,8.76,13.41,2.42,2:1,1084752000,6.418,24.74,0.14198184,0.26159418,0.8,1711497600,NYQ,EQUITY,322151400,-14400000,331.52,406.0,345.0,379.41,379.0,2.1,buy,24,2407000064,6.318,5438000128,13400000512,0.845,1.71,20963000320,69.894,55.173,0.07226,0.18638,2291875072,3470000128,0.097,0.63994,0.25941,0.18558,USD,2.7628,0.331,0.331
DHR,20037-1701,Diagnostics & Research,Healthcare,61000,9,10,1,2,7,1714521600,1703980800,86400,2,259.26,260.0,259.74,263.76,259.26,260.0,259.74,263.76,1.08,0.0042,1719532800,0.1927,0.38,0.854,48.4614,30.407152,2512552,2512552,2532032,1930140,1930140,262.93,263.04,1300,800,195267313664,182.09,263.76,8.226284,248.1564,230.4614,1.05,0.004049988,USD,204267388928,0.18545,660144287,740686976,5538597,6352743,1711584000,1714435200,0.0075,0.10755,0.82304,1.95,0.0084,740686976,72.16,3.653409,1703980800,1735603200,1711670400,4068999936,5.44,8.67,4.53,1128:1000,1696204800,8.605,27.54,0.2983142,0.26159418,0.27,1711497600,NYQ,EQUITY,283789800,-14400000,263.63,297.0,220.0,271.39,274.43,2.1,buy,20,7031000064,9.493,7416999936,19263000576,1.338,1.848,23736999936,36.041,32.107,0.03859,0.07755,4861875200,6956000256,-0.026,0.58891,0.31247,0.23085,USD,3.0968,-0.25,-0.251
CVS,02895,Healthcare Plans,Healthcare,219000,5,4,4,7,5,1714521600,1703980800,86400,2,56.0,56.21,55.635,56.49,56.0,56.21,55.635,56.49,2.66,0.0475,1713484800,0.4351,2.86,0.552,9.865404,7.209333,13155002,13155002,10978227,22200230,22200230,56.13,56.13,1200,800,71185661952,53.7,83.25,0.19792378,69.9872,71.72,2.48,0.044285715,USD,139185881088,0.02036,1251845374,1255369984,13706456,22722983,1711584000,1714435200,0.0109,0.00117,0.83924,1.55,0.0109,1265910016,59.08,0.9518077,1703980800,1735603200,1711843200,7320999936,5.7,7.8,3.88,2:1,1118102400,0.387,8.224,-0.19343221,0.26159418,0.665,1713484800,NYQ,EQUITY,99153000,-14400000,56.2328,93.31,59.0,68.76,65.0,2.3,buy,24,13089000448,10.426,16924000256,81792000000,0.544,0.81,359661993984,110.306,281.151,0.03175,0.10087,8363500032,10890999808,0.036,0.14554,0.047059998,0.021329999,USD,1.4216,-0.479,-0.467
